Date,Open,High,Low,Close,Adj Close,Volume
1991-07-01,1665.500000,1685.699951,1665.500000,1678.099976,1678.099976,0
1991-07-02,1678.300049,1692.300049,1678.300049,1688.500000,1688.500000,0
1991-07-03,1688.300049,1692.500000,1675.699951,1678.599976,1678.599976,0
1991-07-04,1678.599976,1686.500000,1678.599976,1684.099976,1684.099976,0
1991-07-05,1684.300049,1692.500000,1681.400024,1686.599976,1686.599976,0
1991-07-08,1685.400024,1685.400024,1667.500000,1671.599976,1671.599976,0
1991-07-09,1671.900024,1685.099976,1671.900024,1682.900024,1682.900024,0
1991-07-10,1683.099976,1705.800049,1683.099976,1703.599976,1703.599976,0
1991-07-11,1703.500000,1706.000000,1694.300049,1697.500000,1697.500000,0
1991-07-12,1697.800049,1716.400024,1697.800049,1716.300049,1716.300049,0
1991-07-15,1716.500000,1730.000000,1716.500000,1723.800049,1723.800049,0
1991-07-16,1724.400024,1732.699951,1724.400024,1730.500000,1730.500000,0
1991-07-17,1730.400024,1734.500000,1724.500000,1727.400024,1727.400024,0
1991-07-18,1727.199951,1739.000000,1723.099976,1733.300049,1733.300049,0
1991-07-19,1733.500000,1758.599976,1731.900024,1734.000000,1734.000000,0
1991-07-22,1733.400024,1733.400024,1724.199951,1728.300049,1728.300049,0
1991-07-23,1728.199951,1743.400024,1728.199951,1737.099976,1737.099976,0
1991-07-24,1735.599976,1735.599976,1721.699951,1723.099976,1723.099976,0
1991-07-25,1723.000000,1724.800049,1716.000000,1723.599976,1723.599976,0
1991-07-26,1724.199951,1728.800049,1714.000000,1719.000000,1719.000000,0
1991-07-29,1718.699951,1721.599976,1713.500000,1721.199951,1721.199951,0
1991-07-30,1721.300049,1729.599976,1721.300049,1725.300049,1725.300049,0
1991-07-31,1726.500000,1733.000000,1726.500000,1727.199951,1727.199951,0
1991-08-01,null,null,null,null,null,null
1991-08-02,1726.900024,1732.800049,1723.699951,1731.599976,1731.599976,0
1991-08-05,1730.699951,1730.699951,1723.699951,1724.099976,1724.099976,0
1991-08-06,1723.900024,1723.900024,1709.800049,1716.900024,1716.900024,0
1991-08-07,1718.099976,1725.500000,1718.099976,1723.400024,1723.400024,0
1991-08-08,1723.400024,1725.800049,1719.000000,1723.000000,1723.000000,0
1991-08-09,1722.500000,1730.099976,1716.599976,1728.400024,1728.400024,0
1991-08-12,1728.199951,1728.300049,1722.000000,1722.099976,1722.099976,0
1991-08-13,1722.199951,1732.199951,1722.199951,1724.500000,1724.500000,0
1991-08-14,1724.800049,1735.199951,1724.400024,1733.599976,1733.599976,0
1991-08-15,1733.599976,1744.699951,1733.599976,1739.000000,1739.000000,0
1991-08-16,1723.500000,1726.599976,1712.500000,1726.199951,1726.199951,0
